Area,Latitude,Longitude,Date,Crime_Type
Ameerpet,17.42638119881953,78.4513890218469,2023-12-29 02:30:00,Assault
Kukatpally,17.497590412922,78.40970515284808,2023-07-13 04:07:00,Assault
Banjara Hills,17.406791218659766,78.42944830192822,2023-06-13 17:56:00,Theft
Ameerpet,17.43772221826612,78.44392207086396,2023-09-25 03:21:00,Burglary
Ameerpet,17.430466561982925,78.42680379343923,2023-02-28 18:54:00,Kidnapping
Kukatpally,17.49622464602387,78.39925347815773,2023-07-09 22:58:00,Auto Theft
Kukatpally,17.4895487714887,78.4187277127136,2023-08-31 16:17:00,Burglary
Chintal,17.481493613100813,78.44538306250207,2023-06-24 23:55:00,Ganja Smuggling
Ameerpet,17.432163511961576,78.44814472137679,2023-11-16 16:17:00,Burglary
Miyapur,17.482720606961777,78.35326883347993,2023-08-07 20:19:00,Kidnapping
Banjara Hills,17.419984665799955,78.4364136828119,2023-12-05 19:19:00,Kidnapping
Ameerpet,17.436343517176116,78.4451889630441,2023-01-17 03:27:00,Auto Theft
Miyapur,17.51990746334103,78.36750985187018,2023-10-28 05:15:00,Burglary
Banjara Hills,17.41584083969395,78.43084917719584,2023-09-19 17:36:00,Theft
Chintal,17.48073077999694,78.45441676288841,2023-04-05 16:10:00,Auto Theft
Kukatpally,17.49956042587427,78.412636612684,2023-04-04 11:53:00,Ganja Smuggling
Miyapur,17.481418467104525,78.36779646975785,2023-09-01 22:39:00,Ganja Smuggling
Banjara Hills,17.420725258223943,78.44826240028571,2023-01-18 00:58:00,Assault
Chintal,17.4907684522397,78.44748881045841,2023-04-20 22:58:00,Theft
Miyapur,17.488702981193402,78.34836103639657,2023-03-24 18:16:00,Ganja Smuggling
Miyapur,17.497370470682384,78.35380992649534,2023-05-09 17:00:00,Burglary
Banjara Hills,17.407255835463268,78.41974946129186,2023-04-25 12:19:00,Auto Theft
Kukatpally,17.501849813113328,78.40320923377591,2023-09-15 21:29:00,Auto Theft
Chintal,17.48644742865999,78.43874653555282,2023-05-20 01:15:00,Ganja Smuggling
